"FirstName","LastName","Email","Phone","City","Country","Company","Revenue","SignupDate","Status","Segment","Notes"
"First1","Last1","user1@example.com","9000000001","Bangalore","USA","Company1","1097","2021-01-02","Inactive","Mid-Market","Clean row 1"
"First2","Last2","user2@example.com","9000000002","Delhi","UK","Company1","1194","2021-01-03","Pending","Enterprise","Clean row 2"
"First3","Last3","user3@example.com","9000000003","Mumbai","Germany","Company1","1291","2021-01-04","Active","SMB","Clean row 3"
"First4","Last4","user4@example.com","9000000004","Hyderabad","Singapore","Company1","1388","2021-01-05","Inactive","Mid-Market","Clean row 4"
"First5","Last5","user5@example.com","9000000005","Chennai","UAE","Company2","1485","2021-01-06","Pending","Enterprise","Clean row 5"
"First6","Last6","user6@example.com","9000000006","Pune","India","Company2","1582","2021-01-07","Active","SMB","Clean row 6"
"First7","Last7","user7@example.com","9000000007","Bangalore","USA","Company2","1679","2021-01-08","Inactive","Mid-Market","Clean row 7"
"First8","Last8","user8@example.com","9000000008","Delhi","UK","Company2","1776","2021-01-09","Pending","Enterprise","Clean row 8"
"First9","Last9","user9@example.com","9000000009","Mumbai","Germany","Company3","1873","2021-01-10","Active","SMB","Clean row 9"
"First10","Last10","user10@example.com","9000000010","Hyderabad","Singapore","Company3","1970","2021-01-11","Inactive","Mid-Market","Clean row 10"
"First11","Last11","user11@example.com","9000000011","Chennai","UAE","Company3","2067","2021-01-12","Pending","Enterprise","Clean row 11"
"First12","Last12","user12@example.com","9000000012","Pune","India","Company3","2164","2021-01-13","Active","SMB","Clean row 12"
"First13","Last13","user13@example.com","9000000013","Bangalore","USA","Company4","2261","2021-01-14","Inactive","Mid-Market","Clean row 13"
"First14","Last14","user14@example.com","9000000014","Delhi","UK","Company4","2358","2021-01-15","Pending","Enterprise","Clean row 14"
"First15","Last15","user15@example.com","9000000015","Mumbai","Germany","Company4","2455","2021-01-16","Active","SMB","Clean row 15"
"First16","Last16","user16@example.com","9000000016","Hyderabad","Singapore","Company4","2552","2021-01-17","Inactive","Mid-Market","Clean row 16"
"First17","Last17","user17@example.com","9000000017","Chennai","UAE","Company5","2649","2021-01-18","Pending","Enterprise","Clean row 17"
"First18","Last18","user18@example.com","9000000018","Pune","India","Company5","2746","2021-01-19","Active","SMB","Clean row 18"
"First19","Last19","user19@example.com","9000000019","Bangalore","USA","Company5","2843","2021-01-20","Inactive","Mid-Market","Clean row 19"
"First20","Last20","user20@example.com","9000000020","Delhi","UK","Company5","2940","2021-01-21","Pending","Enterprise","Clean row 20"
